
---------- Begin Simulation Statistics ----------
simSeconds                                   1.239720                       # Number of seconds simulated (Second)
system.cpu.intInstQueueReads               2677659445                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               109532307                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        98987621                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                 245654175                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                133703098                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses        110089737                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    99247241                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                    124004582                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                     41630                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                             961                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          109029                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads         839515                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores     121928174                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads        27135                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores        48376                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups_0::NoBranch          947      0.01%      0.01% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::Return         20119      0.12%      0.13% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::CallDirect        24420      0.15%      0.27% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::CallIndirect          901      0.01%      0.28% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::DirectCond     16598524     99.26%     99.54% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::DirectUncond        71168      0.43%     99.97% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::IndirectCond            0      0.00%     99.97% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::IndirectUncond         5553      0.03%    100.00% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::total       16721632                       # Number of BP lookups (Count)
system.cpu.branchPred.squashes_0::NoBranch          888      0.04%      0.04% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::Return         5085      0.22%      0.26% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::CallDirect         9758      0.42%      0.68% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::CallIndirect          526      0.02%      0.71% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::DirectCond      2265522     98.60%     99.31% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::DirectUncond        14080      0.61%     99.92% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
